position	extrac#	Genus	Taxon ID	database#	State/Province	County	ICE3	ICE3	ICE3	ICE3	ICE3		a1	a1	a1	BF20	BF20	BF20	BF20	BF11	BF11	BF11		c8	c8	c8	c8	ICE14	ICE14	ICE14	ICE14	BF9	BF9	BF9	BF9	e9	e9	e9	e9	BF18	BF18	BF18	BF18	BF3	BF3	BF3	BF3		b6	b6	b6	b6				BF19	BF19	BF19	BF19	BF19	BF19	BF15	BF15	BF15	BF15	a3	a3	a3	a3	a3	a3	Bdru266	Bdru266	Bdru266	Bdru266																																																																																																																																																																																				
P0A01	JB90		sparsiflora x sparsiflora	128231	Oregon	Malheur	75	89					238			205				72				248				220	223			84	92			203				113	115			109	117				303	307						155	159					87				247						131	137																																																																																																																																																																																						
P0B01	JB91		imnahaensis x yellowstonensis	128230	Idaho	Boise	87	101					237	238		207	209			78	82			254				223				82	84			199	201			113	117			101	103				297	311						163						99				247	253	255				125																																																																																																																																																																																							
P0C01	JB92		pendulina	128229	Utah	Sevier	95						238			217				80				258				223				92				210				117				0					311							138						93				248	255					129																																																																																																																																																																																							
P0D01	JB93		formosa	127775	Wyoming	Sweetwater	89						238			199				84				238				217				82				207				110				95					310							0						116	118			248						121	123																																																																																																																																																																																						
P0E01	JB94		retrofracta x retrofracta	128167	Utah	Weber	91						238			214	218			78	80			240				217				80	88			203	205			115	117			93					302	306						147	149					93				255						131	133																																																																																																																																																																																						
P0F01	JB95		thompsonii	128189	Colorado	Delta	101	103					241			219	221			80				230				227				84	98			193				117				103	105				299							157	163					109	113			253						146																																																																																																																																																																																							
P0G01	JB96		lemmonii	128075	Oregon	Douglas	73						238			217				80				255				223				96				197				119				111					307							187						101				248	252					125																																																																																																																																																																																							
P0H01	"""LTM"""		stricta		Idaho		75						238			221				96				238				223				104				204				117				99					302							149																																																																																																																																																																																																							
																																																																																																																																																																																																																																																															
P1A01	JB97		arcuata	128232	California	Kern	87	89					238			211				80				248				220				92				203				113				109					299							142						92				248						113	143																																																																																																																																																																																						
P1B01	JB98		cobrensis	128233	Nevada	Elko	73						238			226				83				237				220				86				197				115				97					300							140	147					97				253						127																																																																																																																																																																																							
P1C01	JB99		uintaensis	127905	Wyoming	Sweetwater	71						238			219				81				237				220				84				196				115				113					302							144	155					97				236						127																																																																																																																																																																																							
P1D01	JB100		retrofracta	128234	Idaho	Boise	87						238			220				80				234				217				80				207				115				93					303							155						93				0						127																																																																																																																																																																																							
P1E01	JB101		crandallii	128180	Colorado	Hinsdale	77	79					238			209				80				231				214				84				194				117				99					299							0						103				0						133																																																																																																																																																																																							
P1F01	JB102		cusickii x sparsiflora	128157	Nevada	Elko	81	99					238			203	209			72	75			240	252			223				84	92			199	203			115				93	109				299	301						149	153					87	89			253						129	137																																																																																																																																																																																						
P1G01	JB103		cusickii	128235	Oregon	Wasco	77						238			203				77				236	252			223				90				199				115				113					299							149						87				253						135																																																																																																																																																																																							
P1H01	JB104		cusickii	128236	Washington	Spokane	77						238			203				80				255				223				82				203				113				101					301							136	144					89				253						131																																																																																																																																																																																							
P1A02	JB105		shevockii	127764	California	Tulare	71	73					238			209				83				0				227				84				200				115	117			0					303	305						138	142	144				101				211						0																																																																																																																																																																																							
P1B02	JB106		davidsonii	127704	Nevada	Humboldt	93						237			199				83				0				233				86				192				117				0					309							142						93				248						0																																																																																																																																																																																							
P1C02	JB107		juniperina	128150	California	San Bernardino	81						238			211				80				241				214				86				212				113				131					304							140						86				0						135																																																																																																																																																																																							
P1D02	JB108		evadens	128043	California	Tulare	93						237			201				80				239				220				84				193				115				123					305							163						103				0						137	138																																																																																																																																																																																						
